date,country,confirmed,deaths,recovered
2020-03-01,USA,100,2,20
2020-03-02,USA,150,3,35
2020-03-03,USA,220,5,55
2020-03-04,USA,,8,85
2020-03-05,USA,450,12,120
2020-03-06,USA,600,18,180
2020-03-07,USA,850,25,250
2020-03-08,USA,12000,35,350
2020-03-09,USA,1500,48,480
2020-03-10,USA,1800,65,650
2020-03-01,India,50,1,15
2020-03-02,India,80,2,25
2020-03-03,India,120,3,40
2020-03-04,India,180,4,60
2020-03-05,India,250,6,90
2020-03-06,India,350,8,130
2020-03-07,India,500,11,180
2020-03-08,India,700,15,250
2020-03-09,India,950,20,350
2020-03-10,India,,,
2020-03-01,Brazil,80,1,25
2020-03-02,Brazil,130,2,40
2020-03-03,Brazil,200,4,65
2020-03-04,Brazil,300,6,100
2020-03-05,Brazil,450,9,150
2020-03-06,Brazil,650,13,220
2020-03-07,Brazil,900,18,320
2020-03-08,Brazil,1300,25,450
2020-03-09,Brazil,20000,500,6000
2020-03-10,Brazil,2500,45,800
2020-03-01,UK,120,3,30
2020-03-02,UK,180,5,45
2020-03-03,UK,260,8,65
2020-03-04,UK,370,12,90
2020-03-05,UK,520,17,130
2020-03-06,UK,720,24,190
2020-03-07,UK,980,33,270
2020-03-08,UK,15000,45,380
2020-03-09,UK,2000,60,520
2020-03-10,UK,2400,78,700
2020-03-01,Germany,80,1,25
2020-03-02,Germany,110,2,35
2020-03-03,Germany,150,3,50
2020-03-04,Germany,200,5,70
2020-03-05,Germany,280,7,100
2020-03-06,Germany,380,10,140
2020-03-07,Germany,520,14,200
2020-03-08,Germany,700,19,280
2020-03-09,Germany,18000,450,5500
2020-03-10,Germany,2200,55,750
